"participant","lexicality","block","environment","order","trial","spelling","button","response","accuracy","previous.accuracy","rt","previous.rt","microsec.error","unix.seconds","unix.microseconds","trial.day","trial.session","order.in.block","order.in.subblock","rt.raw","coltheart.N","OLD20","nletters","nsyl","morphology","flection","synclass","celex.frequency","celex.frequency.lemma","celex.inflectional.entropy","lemma.size","nlemmas","bnc.frequency","bnc.frequency.million","subtlex.frequency","subtlex.frequency.million","subtlex.cd","subtlex.cd.pct","summed.monogram","summed.bigram","summed.trigram","lett.odd","part3"
72,"W",8,"GC3",4173,29585,"attached",1,"W",1,1,556,556,11,1265114191,624875,1473,1473,173,73,556,2,2.4,8,2,"monomorphemic","past participle.plural past.singular 2p past.singular past 1p.singular past 3p","Verb",675,878,-4776.91317153,55,1,3939,39.39,607,11.902,529,0.0631,753549,49710,9455,1,"0"
72,"W",9,"GC2",4514,31057,"bottom",1,"W",1,1,479,859,233,1265372860,874500,314,314,14,14,479,0,2.45,6,2,"monomorphemic","singular","Noun",1467,1524,-15430.8723274,2,1,7549,75.49,2329,45.6667,1654,0.1972,609418,20062,1872,2,"0"
72,"W",9,"GC2",4332,42197,"leaching",1,"W",1,1,803,547,148,1265372536,859500,132,132,332,32,803,4,1.65,8,2,"monomorphemic","present participle","Verb",6,62,-16.087588972,11,1,137,1.37,2,0.0392,2,2e-04,740192,64574,21026,12,"0"
73,"N",1,"GC2",253,19386,"rangnit",1,"N",1,1,NA,1367,10,1265193510,328750,53,53,253,53,2438,0,2.95,7,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,729684,47105,2941,18,"1"
73,"N",1,"GC2",272,22352,"slike",1,"N",1,0,838,2884,160,1265193562,499750,72,72,272,72,838,6,1.65,5,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,627307,29124,1115,19,"1"
73,"N",1,"GC2",495,23572,"stawled",1,"N",1,1,NA,1516,10,1265194235,281750,295,295,495,95,3445,3,1.8,7,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,707813,51079,10612,19,"1"
73,"N",10,"GC3",5077,7920,"enbayed",1,"N",1,1,888,602,152,1265385596,984375,1377,377,77,77,888,0,2.7,7,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,706590,34109,7634,5,"1"
73,"N",10,"GC3",5027,11318,"hannades",1,"N",1,1,814,658,10,1265385499,578375,1327,327,27,27,814,0,3,8,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,793762,66633,11121,8,"1"
73,"N",10,"GC3",4942,12248,"hirl",2,"W",0,0,NA,875,229,1265385290,812375,1242,242,442,42,1006,4,1.75,4,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,537702,10775,657,8,"1"
73,"N",11,"GC3",5384,9656,"frircy",1,"N",1,1,706,746,11,1265386344,312375,1684,684,384,84,706,0,2.7,6,NA,NA,NA,NA,0,0,NA,NA,NA,0,0,0,0,0,0,590489,22547,1115,6,"1"
